시군구,읍면동 명,총 인구,노인 인구,노인 인구률,여가 복지 시설 카운트,의료 복지 시설수,재가노인 복지시설 카운트,주거 복지 시설 수,복지 시설 총계,시설 담당 수용 인구 수
괴산군,감물면,2190,795,2.75,0,1,3,0,4,198.8
괴산군,괴산읍,10506,2236,4.7,1,2,1,0,4,559
괴산군,불정면,2939,1171,2.51,0,1,1,0,2,585.5
괴산군,연풍면,2419,960,2.52,0,1,0,0,1,960
괴산군,장연면,2000,783,2.55,0,2,1,0,3,261
괴산군,청안면,3631,1342,2.71,0,2,0,0,2,671
괴산군,청천면,5226,2031,2.57,0,3,0,0,3,677
괴산군,칠성면,3231,1091,2.96,0,2,0,0,2,545.5
단양군,단성면,1755,643,2.73,0,0,0,1,1,643
단양군,단양읍,10615,2310,4.6,1,2,3,0,6,385
단양군,대강면,2499,1034,2.42,0,1,0,0,1,1034
단양군,매포읍,5419,1609,3.37,0,0,1,1,2,804.5
단양군,어상천면,1932,733,2.64,0,0,0,1,1,733
단양군,영춘면,3299,1243,2.65,1,0,0,2,3,414.3
단양군,적성면,1534,647,2.37,0,0,0,1,1,647
보은군,내북면,1704,728,2.34,0,3,1,0,4,182
보은군,보은읍,14938,3800,3.93,2,0,1,0,3,1266.7
보은군,수한면,1932,801,2.41,0,2,1,0,3,267
보은군,회인면,1763,804,2.19,1,0,1,0,2,402
영동군,매곡면,1943,823,2.36,1,3,0,0,4,205.8
영동군,양강면,3249,1172,2.77,0,1,0,0,1,1172
영동군,양산면,1872,821,2.28,0,3,0,2,5,164.2
영동군,영동읍,20911,4397,4.76,1,9,2,3,15,293.1
영동군,용산면,3298,1261,2.62,0,1,0,0,1,1261
영동군,용화면,1014,421,2.41,0,1,0,1,2,210.5
영동군,추풍령면,2300,918,2.51,0,1,0,0,1,918
영동군,황간면,4376,1552,2.82,0,2,0,0,2,776
옥천군,군북면,3045,1128,2.7,0,2,0,0,2,564
옥천군,군서면,2290,950,2.41,0,1,1,0,2,475
옥천군,동이면,3220,1205,2.67,0,3,1,0,4,301.3
옥천군,안남면,1418,606,2.34,0,1,0,0,1,606
옥천군,안내면,1941,904,2.15,0,1,0,1,2,452
옥천군,옥천읍,28977,6010,4.82,1,7,5,0,13,462.3
음성군,감곡면,10045,2514,4,0,2,0,0,2,1257
음성군,금왕읍,19922,3471,5.74,1,3,3,0,7,495.9
음성군,대소면,15714,2252,6.98,0,3,0,0,3,750.7
음성군,맹동면,13094,1814,7.22,0,3,0,0,3,604.7
음성군,삼성면,6933,1804,3.84,0,1,0,0,1,1804
음성군,생극면,4526,1491,3.04,1,5,0,0,6,248.5
음성군,소이면,2906,1265,2.3,0,1,1,0,2,632.5
음성군,원남면,3062,1310,2.34,0,1,0,2,3,436.7
음성군,음성읍,16951,4057,4.18,0,3,6,0,9,450.8
제천시,금성면,1936,754,2.57,1,0,0,0,1,754
제천시,백운면,3263,1368,2.39,1,0,0,0,1,1368
제천시,봉양읍,6772,2305,2.94,0,8,3,0,11,209.5
제천시,송학면,4633,1776,2.61,0,2,0,2,4,444
제천시,수산면,2044,906,2.26,0,1,0,0,1,906
제천시,신백동,11188,2085,5.37,0,3,0,0,3,695
제천시,영서동,10284,2232,4.61,0,5,2,0,7,318.9
제천시,용두동,17990,2672,6.73,0,2,3,0,5,534.4
제천시,의림지동,9931,1456,6.82,0,3,0,0,3,485.3
제천시,중앙동,6029,1641,3.67,2,2,3,0,7,234.4
제천시,중앙동,5874,1641,3.58,2,2,3,0,7,234.4
제천시,중앙동,6029,1464,4.12,2,2,3,0,7,209.1
제천시,중앙동,5874,1464,4.01,2,2,3,0,7,209.1
제천시,청전동,15739,3858,4.08,0,2,1,0,3,1286
제천시,화산동,15361,2623,5.86,0,3,0,0,3,874.3
증평군,도안면,1890,745,2.54,0,1,0,0,1,745
증평군,증평읍,34917,5671,6.16,2,9,4,0,15,378.1
진천군,덕산면,2194,917,2.39,0,2,0,1,3,305.7
진천군,문백면,3524,1153,3.06,1,5,1,1,8,144.1
진천군,백곡면,2082,886,2.35,0,1,0,0,1,886
진천군,이월면,6067,1798,3.37,0,1,0,0,1,1798
진천군,진천읍,30013,4966,6.04,1,4,2,0,7,709.4
진천군,초평면,3218,1232,2.61,0,3,0,0,3,410.7
청주시,가경동,52634,5057,10.41,1,1,0,0,2,2528.5
청주시,가덕면,3951,1402,2.82,0,1,2,0,3,467.3
청주시,강내면,10859,1980,5.48,0,1,0,0,1,1980
청주시,강서제1동,28414,3336,8.52,0,3,3,0,6,556
청주시,강서제2동,13368,940,14.22,0,4,2,0,6,156.7
청주시,금천동,30156,4155,7.26,0,8,1,0,9,461.7
청주시,남이면,10118,2057,4.92,1,1,2,0,4,514.3
청주시,남일면,6870,1707,4.02,0,2,0,0,2,853.5
청주시,낭성면,2260,890,2.54,0,2,0,0,2,445
청주시,내덕1동,8604,2188,3.93,1,8,2,0,11,198.9
청주시,내덕2동,13035,2403,5.42,0,0,1,0,1,2403
청주시,내수읍,19527,3468,5.63,0,7,5,0,12,289
청주시,미원면,5030,2045,2.46,1,3,0,0,4,511.3
청주시,복대2동,16183,2758,5.87,0,1,2,0,3,919.3
청주시,봉명1동,9828,1384,7.1,0,0,2,0,2,692
청주시,봉명2.송정동,24344,2489,9.78,0,2,1,0,3,829.7
청주시,북이면,4644,1754,2.65,0,4,1,0,5,350.8
청주시,분평동,30829,3196,9.65,0,1,5,0,6,532.7
청주시,사직1동,7735,1848,4.19,1,0,2,0,3,616
청주시,사직2동,14367,2216,6.48,0,1,0,0,1,2216
청주시,사창동,14863,2596,5.73,0,1,2,0,3,865.3
청주시,산남동,26782,2434,11,1,2,0,0,3,811.3
청주시,성안동,6911,1914,3.61,0,1,0,0,1,1914
청주시,성화.개신.죽림동,44788,4913,9.12,0,6,5,0,11,446.6
청주시,수곡1동,13639,3052,4.47,0,2,1,0,3,1017.3
청주시,수곡2동,13551,2878,4.71,0,1,2,0,3,959.3
청주시,영운동,10761,2243,4.8,0,2,2,0,4,560.8
청주시,오근장동,18405,1846,9.97,0,2,0,0,2,923
청주시,오송읍,23602,3068,7.69,0,1,2,0,3,1022.7
청주시,오창읍,70066,5291,13.24,0,6,2,0,8,661.4
청주시,옥산면,18018,2419,7.45,0,1,2,0,3,806.3
청주시,용담.명암.산성동,13550,1452,9.33,0,4,1,0,5,290.4
청주시,용암1동,54190,5159,10.5,0,9,1,0,10,515.9
청주시,용암2동,37440,3224,11.61,2,4,1,0,7,460.6
청주시,우암동,12345,2829,4.36,0,1,1,0,2,1414.5
청주시,운천.신봉동,17187,2737,6.28,0,3,3,0,6,456.2
청주시,율량.사천동,47747,5113,9.34,0,3,4,0,7,730.4
청주시,중앙동,6029,1641,3.67,1,2,1,0,4,410.3
청주시,중앙동,5874,1641,3.58,1,2,1,0,4,410.3
청주시,중앙동,6029,1464,4.12,1,2,1,0,4,366
청주시,중앙동,5874,1464,4.01,1,2,1,0,4,366
청주시,탑대성동,8866,2178,4.07,0,1,0,0,1,2178
청주시,현도면,3350,1326,2.53,0,3,2,0,5,265.2
충주시,교동,18898,2485,7.6,0,1,0,0,1,2485
충주시,교현.안림동,23628,4129,5.72,0,5,0,1,6,688.2
충주시,교현2동,7070,1828,3.87,1,0,1,0,2,914
충주시,금가면,3782,858,4.41,1,0,0,0,1,858
충주시,노은면,2317,1030,2.25,0,1,0,1,2,515
충주시,달천동,3666,1094,3.35,0,0,0,1,1,1094
충주시,대소원면,8734,1563,5.59,1,2,0,0,3,521
충주시,동량면,3706,1390,2.67,0,5,0,0,5,278
충주시,목행.용탄동,6682,968,6.9,0,2,0,0,2,484
충주시,문화동,9606,2638,3.64,0,1,0,0,1,2638
충주시,살미면,2039,806,2.53,0,2,0,0,2,403
충주시,성내.충인동,2706,851,3.18,0,4,0,0,4,212.8
충주시,소태면,1953,813,2.4,0,1,0,0,1,813
충주시,수안보면,2988,1118,2.67,0,3,0,0,3,372.7
충주시,신니면,3010,1247,2.41,0,1,0,0,1,1247
충주시,앙성면,3944,1553,2.54,0,1,0,1,2,776.5
충주시,엄정면,3256,1343,2.42,0,2,0,1,3,447.7
충주시,연수동,37667,5430,6.94,0,1,1,0,2,2715
충주시,용산동,15528,2092,7.42,0,1,0,0,1,2092
충주시,주덕읍,4864,1659,2.93,0,3,0,0,3,553
